name,label
shoes,non-food
clothing,non-food
electronics,non-food
toys,non-food
books,non-food
furniture,non-food
soap,non-food
shampoo,non-food
toothbrush,non-food
toothpaste,non-food
detergent,non-food
batteries,non-food
medicine,non-food
phone,non-food
tablet,non-food
charger,non-food
perfume,non-food
lotion,non-food
makeup,non-food
jewelry,non-food
watch,non-food
stationery,non-food
notebook,non-food
pen,non-food
pencil,non-food
glasses,non-food
sunglasses,non-food
umbrella,non-food
belt,non-food
hat,non-food
scarf,non-food
gloves,non-food
tools,non-food
hammer,non-food
nails,non-food
screws,non-food
adhesive,non-food
tape,non-food
paint,non-food
cleaning supplies,non-food
bleach,non-food
disinfectant,non-food
floor cleaner,non-food
air freshener,non-food
light bulb,non-food
extension cord,non-food
camera,non-food
laptop,non-food
monitor,non-food
printer,non-food
keyboard,non-food
mouse,non-food
speaker,non-food
headphones,non-food
